checklists
id;summary;requirement;precondition;steps;expected_result
146;Чек-лист проверки наличия обязательных полей в форме создания резюме;3.4. Данные поля формы создания резюме должны быть обязательны к заполнению: название, владение английским, ссылка на Github, описание, навыки.;Авторизоваться на сайте и перейти на страницу создания резюме (https://cv.hexlet.io/ru/account/resumes/new);"В форме создания резюме присутствуют следующие обязательные поля (отмечены звездочкой):
	Название.
	Владение английским.
	Ссылка на Github.
	Описание.
	Навыки.
При попытке сохранить форму без заполнения одного из обязательных полей, резюме не публикуется, а выделяется незаполенное поле:
	Название.
	Владение английским.
	Ссылка на Github.
	Описание.
	Описание.
После заполнения всех обязательных полей и сохранения формы, резюме успешно создается и появляется на странице пользователя.
При редактировании резюме обязательные поля остаются обязательными и не могут быть оставлены пустыми:
	Название.
	Владение английским.
	Ссылка на Github.
	Описание.
	Навыки.";
149;Чек-лист проверки наличия даты публикации;3.6. Список резюме должен содержать дату публикации каждого и ссылку на профиль автора.;;"Первая страница
	Открыть страницу со списком резюме.
	Проверить наличие даты публикации у каждого резюме.
		Expected result:
У всех резюме на первой странице есть дата публикации.
Случайная страница
	Перейти на случайную страницу со списком резюме (например страница №16)
	Проверить наличие даты публикации у каждого резюме.
		Expected result:
У всех резюме на случайной странице есть дата публикации.
Последняя страница
	Перейти на последнюю страницу со списком резюме.
	Проверить наличие даты публикации у каждого резюме.
		Expected result: 
У всех резюме на последней странице есть дата публикации.";
150;Чек-лист проверки наличия ссылок на профиль автора;3.6. Список резюме должен содержать дату публикации каждого и ссылку на профиль автора.;;"Первая страница
	Открыть страницу со списком резюме.
	Проверить наличие ссылки на профиль автора у каждого резюме.
		Expected result:
У всех резюме на первой странице есть ссылка на профиль автора.
Случайная страница
	Перейти на случайную страницу со списком резюме (например страница №19)
	Проверить наличие ссылки на профиль автора у каждого резюме.
		Expected result:
У всех резюме на случайной странице есть ссылка на профиль автора.
Последняя страница
	Перейти на последнюю страницу со списком резюме.
	Проверить наличие ссылки на профиль автора у каждого резюме.
		Expected result: 
У всех резюме на последней странице есть ссылка на профиль автора.";
151;Чек-лист проверки корректности ссылок на профиль автора;3.6. Список резюме должен содержать дату публикации каждого и ссылку на профиль автора.;;"Первая страница
	Открыть страницу со списком резюме.
	Перейти по ссылке на профиль автора у любого резюме на странице.
		Expected result:
Ссылка должна вести на соответствующую страницу профиля автора
Случайная страница
	Перейти на случайную страницу со списком резюме (например страница №14)
	Перейти по ссылке на профиль автора у любого резюме на странице.
		Expected result:
Ссылка должна вести на соответствующую страницу профиля автора
Последняя страница
	Перейти на последнюю страницу со списком резюме.
	Перейти по ссылке на профиль автора у любого резюме на странице..
		Expected result: 
Ссылка должна вести на соответствующую страницу профиля автора";
218;Отображение количества ответов (первая страница);3.7. Список резюме должен отображать количество просмотров и ответов на каждое.;;"Открыть страницу со списком резюме.
Проверить наличие количества ответов в списке у каждого резюме.";У всех резюме на первой странице отображается количество ответов.
219;Отображение количества ответов (случайная страница);3.7. Список резюме должен отображать количество просмотров и ответов на каждое.;;"Перейти на случайную страницу со списком резюме (например страница №34)
Проверить наличие количества ответов в списке у каждого резюме.";У всех резюме на выбранной странице отображается количество ответов.
220;Отображение количества ответов (последняя страница);3.7. Список резюме должен отображать количество просмотров и ответов на каждое.;;"Перейти на последнюю страницу со списком резюме.
Проверить наличие количества ответов в списке у каждого резюме.";У всех резюме на выбранной странице отображается количество ответов.
208;Чек-лист проверки наличия функционала поиска резюме;3.9. Возможность поиска резюме по значениям — направление, фамилия, имя, почта.;;"Открыть страницу со списком резюме https://cv.hexlet.io/ru
Отображены поля поиска по значениям
	""Название резюме""
	""Имя/Фамилия/Почта""
	""Выберите направление""
Отображены кнопки
	""Найти""
	""Сбросить""
Активное поле выделено цветом";
230;Чек-лист проверки ведения рейтинга пользователей по количеству лайков их рекомендаций;4.9. Ведение рейтинга пользователей по количеству лайков их рекомендаций.;https://cv.hexlet.io/ru/users;"Отображены поля  по значениям
	#
	Количество лайков
	Пользователь
Все строки заполнены
Строки рейтинга отсортированы по числу лайков в порядке убывания";
244;Чек-лист проверки обязательности заполнения полей формы при создании вакансии;5.3. Данные поля формы создания вакансии должны быть обязательны к заполнению: уровень, тип занятости, валюта, должность, компания, обязанности.;"- Выполнен вход в аккаунт
- Открыта страница создания вакансии 
https://cv.hexlet.io/ru/account/vacancies/new";"В форме создания вакансии присутствуют следующие обязательные поля (отмечены звездочкой)
	Уровень
	Тип занятости
	Валюта
	Должность
	Компания
	Обязанности
Вакансия не создается при попытке оставить поле формы незаполненным, а пропущенные поля выделяются красным цветом:
	Уровень
	Тип занятости
	Валюта
	Должность
	Компания
	Обязанности
После заполнения всех обязательных полей вакансия успешно создается";
